address,symbol,name,decimals,total_supply
0x0008b0650eb2faf50cf680c07d32e84be1c0f07e,SGX,Synergix,18,1000000000000000000000000000
0x001575786dfa7b9d9d1324ec308785738f80a951,DCNT,DECENTURION,8,3000000000000000
0x0000000000b3f879cb30fe243b4dfee438691c04,GST2,Gastoken.io,2,1281078
0x000000002647e16d9bab9e46604d75591d289277,FV,FinneyVote,1,1299
0x001118572a7a0e91221b00ff39f53a45c129ca08,SSGH,superGH,0,21000000
0x0027449bf0887ca3e431d263ffdefb244d95b555,NOT,Not,18,115792089237316195423570985008687907853269984665640564039457584007913129639935
0x002f06abe6995fd0ea4be011c53bfc989fa53ce0,TASH,TripCash,18,5000000000000000000000000000
0x00359e48665c081ecba0519cacff26c7ca889296,KNTT,KnightCommentToken,18,10000000000000000000000000000
0x001f0aa5da15585e5b2305dbab2bac425ea71007,IPSX,IPSX,18,1714102658830000000000000000
0x003679a5ac9ed1f83b820d141b0118ba03bed3b6,SHARE,Shares,0,77500000000000
0x003f79d7be15dc1ad90ce00e6ea68f335e2b789b,TZT,TZT,8,100000000000000000
0x005275450e77bfa6bcbd04d85175d5d0f2dfae43,PIN,Poolin Miner Token,18,2100000000000000000000000000
0x0046a2b64d955c1e17315874dc27d16903631364,GRZ,GroundZero,18,100000000000000000000000000
0x0051d363a60bd98d8a10927d10708e5ef853b306,SPZ,SWAPCOINZ,6,90000000000000
0x00423d5dcc87ad19377ead1d3e62fa91c4b7591f,GRB,GRB,2,100000000000
0x00607274b0eba3fe2171ca8eac255d4ef1a3f349,attestt,attestt,8,100000000000000000
0x0055cfce29a5a150e02f03904ef528fd1798301b,SHH,Sharing chains,18,200000000000000000000000000
0x006be391161e4494d7b7d9a73375e11521a7628f,CREDS,Credits,18,99999999999999999500002
0x006bea43baa3f7a6f765f14f10a1a1b08334ef45,STX,Stox,18,55880754514296995604043710
0x006c6701114c4578d972a30250c5948af6e4d55b,,,,
0x0074d43246adc737101eca26bc8681c481d10ae8,ID,SHIELDCURE,18,5000000000000000000000000000
0x007f9ec76b84ad65385d89b004fb391c58a37c08,QDC,千度链,18,1800000000000000000000000000
0x007bfe29e445efa11e87d5ed74f976c0ff10c975,SHARE,Shares,0,118900000000000
0x009725f31c561a64c30c89e74adb995c570330ff,CHC,CHCToken,8,10000000000000000
0x0089659f609933d16a5cd6c2be1a5dca1abe24ad,Drink,DrinkChain,18,999999999000000000000000000
0x0099232b7d1e694f805353991c18c3b0d46a81e5,SCKJ,SCKJcoin,8,50000000000000000
0x009e864923b49263c7f10d19b7f8ab7a9a5aad33,FKX,Knoxstertoken,18,150000000000000000000000000
0x00a0cbe98e4d110b0fa82646152d77babf2951d0,EETHER,EETHER,18,12000000000000000000000000
0x00a93616ea5d2c3fdef314b4607da88920a2fa53,LHS,LingHang Shares,18,120000000000000000000000000
0x00b218fd2db515392f2a2d78b658c913f2eebf2d,,,,1
0x00b4e9fd815312f7fe0e27b12f354c9ed79c8c79,Ʀ,RCC,18,0
0x00b92f05a3c241c86433ba3e339637d26258d72a,GOLC,Gold Coin,8,150000000000000000
0x00c4b398500645eb5da00a1a379a88b11683ba01,EXC,Eximchain Token,18,150000000000000000000000000
0x00bf70e1ddfb8984d0af9af4b29ad3ec40d4b84e,PIS,Parsec Initial Ship,,474
0x00c8449a50a1169d6ae49a3e13b2eb4fefd66134,BABYC,Baby Chain,1,2000000000
0x00c6659f0aae093910a5609cfaaabac5c0b57995,JAT,Just another token,18,1000000000000000000000000000
0x00cab00609e70f14e755524bd07e1c639665e796,SVC,superior via coin(优游链),8,50000000000000000
0x00c91c9aaa825f754a1d023bbc0c0655fbb53e6f,SEE,SeeFund,9,100000000000000000
0x00d53126139c547c7bd4f4285fc3756c2f081ab1,HYB,Hybrid,8,6000000000000000
0x00dea398a2d404a19f665e90c64b44c6409bc7d1,ETHCK,EthereumCryptoKitties,18,84000000000000000000000000
0x00e9bcfab52c108505411849faba90e83c98101b,GTS,GTSTOKEN,9,10000000000000000000
0x00e3ea0019005cba812824d95814d7133ed616b7,FH,Finder Hyper,2,190000000000
0x00eaa5a57c04303d2dddb687a2ae0696c5b49540,CLOUD,Cloud Chain,18,1000000000000000000000000000
0x00ec053f75a8189ef0763c88e483be4da40522ef,UBO,UBSexone,0,50000000
0x00ef581ff1086fa64c1d04bd8c1b5889c6135302,NMK,Namek,18,400000000000000000000000000
0x00f9f4f3ced5d4f6aedea8a92414206557df7167,SNL,SNL,4,5000000000000
0x00f2ae88ec855d128e42e49de35e80d1da48ce76,DM14,D. Mertens,0,0
0x010209889e1c925785508d1e30ed4c0a8436a3f5,KS1,K. Schmeichel,0,15
0x01040424c0e21e1015117a930ad4a3a2c8b54865,READ_JCSWDYD,"READ Token So, What Do YOU Do?",0,2
0x01058f3806cc9c04e3542de8a284c902f3876f82,TDTD,Trade Token,8,500000000000000000
0x0118bf12e9fcc410dc6b9a50381a3b0674009d9b,CLLC,Coralline Chain,4,200000000000000
0x010f42833725d65756b139836a0048c2302ac24e,SHARE,Shares,0,228600000000000
0x010f73a8f235bda821d7e5583d0c28653cff6a3d,YZLWG,邮政劳务工,4,151500000000
0x0105a6f7a626501ff6972e751da580500dc01ef6,RXT,RheXa,18,2000000000000000000000000000
0x011c77fa577c500deedad364b8af9e8540b808c0,IPC,ImmortalPlayerCharacter,,2606
0x0136d46ed3373ebc023c416c3dc6fbcd80b6da8b,CRO,BitCronus,8,20000000000000000
0x013a06558f07d9e6f9a00c95a33f3a0e0255176b,BALI,BALI COIN,18,70000000000000000000000000
0x012ce51d486be4d08ffe952d0e1a7aa3a247f475,ESM,ESM,0,100000000000
0x013cb1a40bd16de0eebe51c44695f6d29bb14081,MANGA,MangaCoin,8,5000000000000000000
0x014b50466590340d41307cc54dcee990c8d58aa8,,ICOS,6,482822000000
0x0142c3b2fc51819b5af5dfc4aa52df9722790851,PYN,Paycentos Token,18,100000000000000000000000000
0x014d9627c8347da4af55542556929e0834c2c0e5,BF（Bitforex),BF,2,1000000000000
0x014e42ae89b24738591e2f695e1ef6d95bd38619,ATF,AgroTechFarm,18,1790691181980487627485404
0x0157de8de833bc42cf3bcae3a5802e22119200a9,VSLK1,Ve Silver K1,18,54000000000000000000
0x015f2cb68d6dfc29365a688ea143fc35cdf4b022,UMChain,unite moeny blockchain,18,25000000000000000000000000
0x016396044709eb3edc69c44f4d5fa6996917e4e8,KXC,KingXChain,18,7350000000000000000000000000
0x01582f53baad0fa7678565ea8632b7b933f2a323,DAVSM,DAVSM,18,349256677019163120000000
0x01688b07fc62e387a951311ec2dcaf08d52f7111,SHARE,Shares,0,1000000000000
0x0163d4eabf2d22eb7dfaea9a91f0ba5dc914729f,PXB,PXB,18,72000000000000000000000000
0x0168703872fa06741ecaa9dff7803168e83f7ae0,MIRO,MIRO Token,8,949144800001027
0x016fb8c2820e834c9e184afe998629372a0f6e3f,ETM,TheToken,0,1000000000
0x01732caa2403f38e90f3f7eb518d6f4d4bcf4ed7,PBPC,Public Business Public Credit,18,2000000000000000000000000000
0x0197b0d7ee4246f62c14192925bdb2346f33772b,VRA,Verasity Token,18,12491500000000000000000000000
0x01764b2f0f01dd0c18e7c252e2cef3ca18ab6250,CETH,CreaEther,18,80000000000000000000000000000
0x018b987374705565c648c5494ace533e88734c1d,NAEC,NewAgricultureChain,18,360000000000000000000000000
0x0189d31f6629c359007f72b8d5ec8fa1c126f95c,SNS,SNSTOKEN,18,100000000000000000000000000000
0x01995786f1435743c42b7f2276c496a610b58612,SDZ,SanDianZhong,18,1000000000000000000000000000000
0x0199d4471b035c61bf4412154e9f08ba7c3f078d,SHARE,Shares,0,60000000000000
0x01a922de9af2c1158dd947ea5b794f0dd995c7df,XMM,Star Mall,18,2100000000000000000000000000
0x01a9a2b8638451d447f0027179b19e8843963a88,URUN,URUN,18,80000000000000000000000000
0x01b9230a7b97e5296d085e87f5ffaa4b87f9d760,HOTEL,HOTEL,2,1000000000000000000000
0x01b3ec4aae1b8729529beb4965f27d008788b0eb,DPP,DA Power Play Token,18,100000000000000000000000000
0x01c1f212e88998850625f3d2e5601fd110c99d04,xxc,xinxincoin,8,80000000000000000
0x01c67791309c71aa4ed373025a0c089696d7c9e4,CCB,CCB,18,2100000000000000000000000000
0x01ba8eb01e987643b7f7f748fc91b657ee7c8d95,大耳朵逗逗姐,大耳朵逗逗姐,0,1
0x01cd3d9df5869ca7954745663bd6201c571e05cf,LULU,LULU Token,18,100000000000000000000000000000
0x01e4031d7338c3ae80233b1d66c96d85be98ff90,TIM,TIM,8,11000000000000000
0x01dae2898900622f79c5d09e7363693cd1f48be8,TRL,Trial token,0,1000000000
0x01e45b8d0c51f05f17385dd3416fe3aa5bfd89ac,CB,COINBIG,18,10000000000000000000000000000
0x01db18f6a474840db3480a6a35227d4d0dfcca37,BP,Backpack Token,18,2000000000000000000000000000
0x01e579be97433f861340268521a7a2ab9829082c,BOX,Beonbox,18,8000000000000000000000000
0x01e7297c4cc1b3aee13e8898f068e527540820c3,SXCFB,SX Create Fortune Bit,10,100000000000000000000
0x01f673e1af7416ff3795ff62393cdf014ce050fd,DIS,Discard Token,18,1200000000000000000
0x01ff50f8b7f74e4f00580d9596cd3d0d6d6e326f,BFT,BF Token,18,1000000000000000000000000000
0x0200412995f1bafef0d3f97c4e28ac2515ec1ece,FLLW,FollowCoin,18,375000000000000000000000000
0x02169578b41b8f7f5f2dd0491aa2682a13196c44,KILLAHY,Killahy Token,18,100000000000000000000000000
0x020d101bfdd4ea4074a40f267fdf5f9336cd1828,MCAI,焖菜,18,100000000000000000000000000
0x021c1ab4cb3fcd46864b9b9a8cb275414522be9f,GGCoin,GGC,2,100000000000
0x0223fc70574214f65813fe336d870ac47e147fae,CZR,CZR,18,1618033988000000000000000000
